"guageid"	"sitename"	"flow_cfs"	"drainarea_sqmi"	"mean_ds_tonyr"	"mean_sum_Dsparam"	"adj_mean_ds_tonyr"	"mean_ds_conc_mgL"	"yield_tonsqmi"	"detrend_status"	"upstrmFrac"
9010500	"COLORADO RIVER BELOW BAKER GULCH NR GRAND LAKE, CO"	87.85	"63"	3945	0.609	2404	28	"38"	"flow and dissolved-solids"	1.1976027645864
9022000	"FRASER RIVER AT UPPER STA, NEAR WINTER PARK, CO."	14.48	"10"	1292	0.542	700	49	"67"	"flow and dissolved-solids"	1
9024000	"FRASER RIVER AT WINTER PARK, CO."	24.66	"27"	1846	0.587	1084	45	"40"	"flow and dissolved-solids"	2.5
9025000	"VASQUEZ CREEK AT WINTER PARK, CO"	14.85	"28"	634	0.668	423	29	"15"	"flow"	1
9025300	"ELK CREEK AT UPPER STATION, NEAR FRASER, CO"	2.28	"2"	40	0.668	27	12	"17"	"flow"	1
9025400	"ELK CREEK NEAR FRASER, CO."	4.02	"7"	115	0.668	76	19	"11"	"none"	1
9026500	"ST. LOUIS CREEK NEAR FRASER, CO."	23.82	"32"	1567	0.668	1046	45	"32"	"flow"	1
9032000	"RANCH CREEK NEAR FRASER, CO."	13.92	"20"	453	0.668	302	22	"15"	"flow and dissolved-solids"	1
9032100	"CABIN CREEK NEAR FRASER, CO."	7.97	"5"	171	0.668	114	15	"25"	"flow"	1
9033100	"RANCH CREEK BLW MEADOW CR NR TABERNASH, CO"	29.17	"65"	1525	0.742	1131	39	"17"	"none"	1
9033300	"FRASER RIVER BLW CROOKED CR AT TABERNASH CO"	122.65	"222"	9902	0.648	6414	53	"29"	"flow"	1
9034250	"COLORADO RIVER AT WINDY GAP, NEAR GRANBY, CO."	260.58	"780"	27956	0.594	16604	65	"21"	"flow and dissolved-solids"	2.55220446737109
9034500	"COLORADO RIVER AT HOT SULPHUR SPRINGS, CO."	228.11	"816"	15309	1	15309	68	"19"	"none"	1
9034900	"BOBTAIL CREEK NEAR JONES PASS, CO"	13	"5"	419	0.668	280	22	"52"	"flow"	1
9035500	"WILLIAMS FORK BELOW STEELMAN CREEK, CO."	26.91	"16"	539	0.668	360	14	"22"	"flow"	1
9035700	"WILLIAMS FORK ABOVE DARLING CREEK, NEAR LEAL, CO"	55.54	"35"	1716	0.668	1146	21	"33"	"flow"	1
9035800	"DARLING CREEK NEAR LEAL, CO."	11.82	"9"	460	0.668	307	26	"35"	"flow"	1
9035880	"S. FK. WILLIAMS FORK BLW OLD BALDY MT NR LEAL, CO"	44.57	"22"	1659	0.648	1075	24	"50"	"none"	1
9035900	"SOUTH FORK OF WILLIAMS FORK NEAR LEAL, CO"	40.69	"27"	2282	0.645	1472	37	"54"	"flow and dissolved-solids"	1
9036000	"WILLIAMS FORK NEAR LEAL, CO."	121.19	"88"	6277	0.675	4236	35	"48"	"flow and dissolved-solids"	1
9037500	"WILLIAMS FORK NEAR PARSHALL, CO"	136.82	"182"	9183	0.68	6248	46	"34"	"flow"	1
9038500	"WILLIAMS FORK BELOW WILLIAMS FORK RESERVOIR, CO"	149.49	"227"	14782	0.657	9716	66	"43"	"flow"	1
9039000	"TROUBLESOME CREEK NEAR PEARMONT, CO."	31.06	"44"	2381	0.668	1589	52	"36"	"none"	1
9041000	"MUDDY CREEK NEAR KREMMLING, CO."	131.3	"86"	11442	0.668	7638	59	"88"	"none"	1
9041090	"MUDDY CREEK ABOVE ANTELOPE CREEK NR. KREMMLING, CO"	82.26	"144"	12537	0.621	7782	96	"54"	"flow and dissolved-solids"	1
9041400	"MUDDY CRK BLW WOLFORD MTN RESER. NR KREMMLING, CO"	86.91	"267"	45711	0.657	30034	351	"112"	"flow and dissolved-solids"	1
9041500	"MUDDY CREEK AT KREMMLING, CO."	140.78	"287"	41458	0.679	28152	203	"98"	"none"	1
9046490	"BLUE RIVER AT BLUE RIVER, CO."	36.1	"42"	3700	0.554	2050	58	"49"	"flow"	1.39279182534131
9046530	"FRENCH GULCH AT BRECKENRIDGE, CO"	15.27	"11"	1880	0.61	1147	76	"106"	"none"	1
9046600	"BLUE RIVER NEAR DILLON, CO"	164.65	"122"	8873	0.915	8118	50	"67"	"flow and dissolved-solids"	1
9047500	"SNAKE RIVER NEAR MONTEZUMA, CO"	80.03	"57"	5410	0.585	3163	40	"55"	"flow"	1
9047700	"KEYSTONE GULCH NEAR DILLON, CO."	7.87	"9"	436	0.668	291	38	"33"	"flow"	1
9050100	"TENMILE CREEK BL NORTH TENMILE C, AT FRISCO, CO."	123.18	"91"	45072	0.668	30088	248	"330"	"flow"	1
9050700	"BLUE RIVER BELOW DILLON, CO."	235.88	"331"	40309	0.584	23539	101	"71"	"flow and dissolved-solids"	1.37217378220666
9051050	"STRAIGHT CR BLW LASKEY GULCH NR DILLON, CO"	17.85	"18"	1860	0.668	1241	71	"68"	"flow"	1
9052000	"ROCK CREEK NEAR DILLON, CO."	25.21	"15"	990	0.668	661	27	"43"	"none"	1
9052400	"BOULDER CREEK AT UPPER STATION, NEAR DILLON, CO."	20.96	"8"	754	0.668	503	24	"59"	"none"	1
9052800	"SLATE CREEK AT UPPER STATION, NEAR DILLON, CO."	28.87	"14"	1168	0.668	780	27	"56"	"none"	1
