"guage"	"guageid.x"	"ag_load"	"geo_load"	"sqkm"	"ec0_10.sqkm"	"ec10_25.sqkm"	"ec25_50.sqkm"	"ec50_75.sqkm"	"ec75_90.sqkm"	"ec90_100.sqkm"	"ec75_100F.sqkm"	"ec0_75F.sqkm"	"ec0_75N.sqkm"	"ec75_100N.sqkm"	"sprg.load"	"ec75q.pct"	"ec50q.pct"	"ec.ave"	"ec.max"	"ec.75q"	"kw.ave"	"kw.max"	"kw.75q"	"ec90q.pct"	"kw75q.pct"	"bg.ave"	"flen.ave"	"facc.ave"	"bgm75q.pct"	"bgm90q.pct"	"bgm75q30p.pct"	"ec75q_kw75q.pct"	"ec75q_facc75q.pct"	"ec75q_f500m.pct"	"ec75q_bgm75q30p.pct"	"ec75q_bgm75q.pct"	"ec75q_bgm75q_kw75q.pct"	"ec75q_bgm75q_facc75q.pct"	"ec75q_bgm75q_f500m.pct"	"ec90q_bgm90q40p_kw90q_facc90q_f500m.pct"	"ec75q_bgm75q30p_kw75q_facc75q_f500m.pct"	"ec75q_bgm75q_kw75q_facc75q_f500m.pct"	"ec50q_bgm75q30p_kw50q_facc50q_f1000m.pct"	"Brock.ave"	"sar.ave"	"rock.ave"	"fs.ave"	"awc.ave"	"elev.ave"	"ppt.ave"	"pptratio.ave"	"protind.ave"	"slp.ave"	"sness.ave"	"exc.ave"	"cwd.ave"	"mlt.ave"	"rch.ave"	"sitename"	"flow_cfs"	"drainarea_sqmi"	"mean_ds_tonyr"	"mean_sum_Dsparam"	"adj_mean_ds_tonyr"	"mean_ds_conc_mgL"	"yield_tonsqmi"	"detrend_status"	"upstrmFrac"	"div_adj_load_tonsyr"	"ec0_10.pct"	"ec10_25.pct"	"ec25_50.pct"	"ec50_75.pct"	"ec75_90.pct"	"ec90_100.pct"	"ec0_75F.pct"	"ec75_100F.pct"	"ec0_75N.pct"	"ec75_100N.pct"	"sprg_load.persqkm"	"cal_tonsyr.div"	"cal_tonsyr"	"guageid.y"	"cal_tonsyrsqkm"	"cal_tonsyr.divsqkm"
9010500	9010500	0	562.1675570938	139.2452	125.1981	11.7477	1.1709	0	0	0	0	0	0	0	0	0	0	0.297677609974477	1.19421124458313	0.337095320224762	0.148208272815769	0.262298583984375	0.160049334168434	0	0.000917805425249847	12.1458638777571	1016.82391424755	4116.46663302485	0.458489053841712	0.271786747406733	0.458838078440047	0	0	0	0	0	0	0	0	0	0	0	0	19.6180704085184	0.211924793060555	9.12748021723167	12.4490723629033	0.157135179047435	3215.52167173163	8476.54330683223	25661.5256328423	1659.3633261813	1784.58475182943	1264.49016078183	59923.4183314095	12406.4666835691	55369.1025328816	4747.60320374663	"COLORADO RIVER BELOW BAKER GULCH NR GRAND LAKE, CO"	87.85	"63"	3945	0.609	2404	28	"38"	"flow and dissolved-solids"	1.1976027645864	2879.03704606571	0.899119682401979	0.0843670015196215	0.00840890745246515	0	0	0	0	0	0	0	0	2879.03704606571	2404	9010500	17.2645089381896	20.6760236336025
9022000	9022000	0	4.44725362018253	27.2482	26.6337	0.5319	0	0	0	0	0	0	0	0	0	0	0	0.35608074809095	0.750144004821777	0.409023813903332	0.139283320048255	0.229612067341805	0.15497263148427	0	0	12.085078187119	957.971773124834	4018.20961345932	0.51390917565197	0.233619101445233	0.51390917565197	0	0	0	0	0	0	0	0	0	0	0	0	19.0739747500516	0.260472854574673	12.6788172027081	12.190585108815	0.169155559885142	3417.42700230902	9688.33183936052	28277.2545931179	1778.44412560384	1984.4989279798	-1482.12354054698	64111.9507305712	6270.1397546072	58825.6010150763	10556.7062849923	"FRASER RIVER AT UPPER STA, NEAR WINTER PARK, CO."	14.48	"10"	1292	0.542	700	49	"67"	"flow and dissolved-solids"	1	700	0.977448051614419	0.019520555486234	0	0	0	0	0	0	0	0	0	700	700	9022000	25.6897703334532	25.6897703334532
9024000	9024000	0	1.804962379318	44.304	41.3334	2.907	0	0	0	0	0	0	0	0	0	0	0	0.406614899084812	0.873429298400879	0.452523276209831	0.140135099331537	0.245561867952347	0.157415714114904	0	0	9.95595654650501	919.466453739116	4052.19612989628	0.354970205850488	0.0832475622968581	0.354970205850488	0	0	0	0	0	0	0	0	0	0	0	0	18.1496263787481	0.230721882730321	10.0195474907646	12.1671147731412	0.169138817345641	3202.05368971501	8181.31434356071	29488.2016636528	1671.30320437161	1819.69702981434	-2256.17018519129	47443.0380317845	16357.759993189	42974.3372297795	4610.06540172328	"FRASER RIVER AT WINTER PARK, CO."	24.66	"27"	1846	0.587	1084	45	"40"	"flow and dissolved-solids"	2.5	2710	0.932949620801733	0.0656148429035753	0	0	0	0	0	0	0	0	0	2010	384	9024000	8.66738894907909	45.3683640303359
9025000	9025000	0	1.05669988370808	73.1601	71.3781	1.6227	0.0081	0	0	0	0	0	0	0	0	0	0	0.333909244844451	1.07375454902649	0.389087557792664	0.142180314599473	0.252634108066559	0.158195108175278	0	0.000110716087047448	9.95176341514528	895.001109453779	4079.19624893268	0.427413303152948	0.127889382327252	0.427413303152948	0	0	0	0	0	0	0	0	0	0	0	0	15.9383831881367	0.198943722908672	10.3059334266885	11.5753117582372	0.178668879544084	3319.37297007338	8162.90460209517	30840.3140869667	1509.31966733881	1669.85425885631	-2200.33072950852	49912.4768109745	12916.0269864337	45283.4669791859	10397.4510690559	"VASQUEZ CREEK AT WINTER PARK, CO"	14.85	"28"	634	0.668	423	29	"15"	"flow"	1	423	0.975642460849562	0.0221801227718387	0.000110716087047448	0	0	0	0	0	0	0	0	423	423	9025000	5.78184010136673	5.78184010136673
9025300	9025300	0	11.8523190969627	4.2783	4.2669	0.0099	0	0	0	0	0	0	0	0	0	0	0	0.384488457280779	0.597657918930054	0.41091500967741	0.133832432364148	0.185727402567863	0.14187902957201	0	0	10.1433080808081	635.496422558923	3971.6891270904	0.62814669378024	0.137367646027628	0.62814669378024	0	0	0	0	0	0	0	0	0	0	0	0	14.1472154618664	0.186852335918895	7.96267317747227	12.6760615974364	0.20442887064797	3276.86948119912	7225.19017403856	30400.412220348	1140.86588850728	1386.07981036889	-4882.88131272231	44777.8433554293	16946.9461256856	40286.6690636837	1031.19412776677	"ELK CREEK AT UPPER STATION, NEAR FRASER, CO"	2.28	"2"	40	0.668	27	12	"17"	"flow"	1	27	0.997335390225089	0.00231400322558025	0	0	0	0	0	0	0	0	0	27	27	9025300	6.31091788794615	6.31091788794615
9025400	9025400	0.17274489456072	2.53370929122019	13.421	12.6081	0.7677	0	0	0	0	0	0.045	0	0	0	0	0	0.397071317079089	0.875072360038757	0.449513107538223	0.149377450254514	0.225235536694527	0.158121906220913	0	0	9.00784603004292	817.148940450644	3963.78798380839	0.48416660457492	0.13753818642426	0.48416660457492	0	0	0	0	0	0	0	0	0	0	0	0	6.49963178506948	0.115017220689313	5.8253081355068	12.4792862087488	0.203032838560385	2943.19987821784	6063.22531291651	30187.7217675729	973.826441199483	1097.73095185159	-4354.40765041034	35251.8591304664	25738.5828626248	31547.7745673053	2258.56955232222	"ELK CREEK NEAR FRASER, CO."	4.02	"7"	115	0.668	76	19	"11"	"none"	1	76	0.939430742865658	0.057201400789807	0	0	0	0	0.00335295432531108	0	0	0	0	49	49	9025400	3.65099470978318	3.65099470978318
9026500	9026500	0	0.851864389702029	85.2641	83.7522	1.5147	0	0	0	0	0	0	0	0	0	0	0	0.350418377651426	0.762560606002808	0.393082469701767	0.138587662630146	0.243971228599548	0.153395369648933	0	0	12.2996664626037	837.036235249414	4029.43787301395	0.610959360387314	0.248200590870014	0.610959360387314	0	0	0	0	0	0	0	0	0	0	0	0	17.2337379543453	0.187783451805462	9.36122847224033	12.8128593339754	0.186749977270805	3270.99496893589	7124.74270149871	31276.8334891567	1605.90921640303	1769.11137535295	-1956.76311554517	43820.4836641055	14055.5821677567	39742.9476257725	5095.11901866742	"ST. LOUIS CREEK NEAR FRASER, CO."	23.82	"32"	1567	0.668	1046	45	"32"	"flow"	1	1046	0.982268035433436	0.0177648037098849	0	0	0	0	0	0	0	0	0	1046	1046	9026500	12.2677656833298	12.2677656833298
9032000	9032000	0	3131.95227119967	51.6603	47.961	3.5865	0	0	0	0	0	0	0	0	0	0	0	0.417101670041036	0.79609227180481	0.458316594362259	0.135542633802492	0.231711775064468	0.151353515684605	0	0	7.67334788302052	847.01232649498	3995.64907605082	0.254336502110905	0.0180138326722841	0.254336502110905	0	0	0	0	0	0	0	0	0	0	0	0	23.897709835892	0.220997929284792	9.87460267889089	12.1195029427817	0.177958950436126	3185.40350327197	8286.16870444982	27401.5673798628	1248.42871754415	1436.32477277538	-1281.43600369447	48204.0577449227	24027.4508241569	43772.7657883659	11453.2645198814	"RANCH CREEK NEAR FRASER, CO."	13.92	"20"	453	0.668	302	22	"15"	"flow and dissolved-solids"	1	302	0.928391821185707	0.0694246839449248	0	0	0	0	0	0	0	0	0	302	302	9032000	5.84588165380379	5.84588165380379
9032100	9032100	0	10.6530499243083	12.5422	11.1555	1.3194	0.0081	0	0	0	0	0	0	0	0	0	0	0.429727734089241	1.10229122638702	0.473278716206551	0.138405757821242	0.205059409141541	0.15673154219985	0	0	9.62595529920692	883.208074981976	4046.45764526279	0.293417422780692	0.0339414137870549	0.293417422780692	0	0	0	0	0	0	0	0	0	0	0	0	27.5264426154684	0.284540484935883	12.1135944787942	11.5514716217478	0.155717587521502	3314.71997765594	9707.41379871547	27621.3082053781	1868.43889578467	2010.20543214156	-261.665821887667	64211.7792137933	10051.8093662652	59177.9974557273	11211.242150938	"CABIN CREEK NEAR FRASER, CO."	7.97	"5"	171	0.668	114	15	"25"	"flow"	1	114	0.889437259810879	0.105196855416115	0.000645819712650093	0	0	0	0	0	0	0	0	114	114	9032100	9.08931447433465	9.08931447433465
9033100	9033100	282.541977363416	1914.82065326552	69.347	57.2616	8.1351	0.594	0	0	0	0	3.3318	0	0	0	0	0	0.453032243931034	1.51691138744354	0.471803188323975	0.155726658424283	0.279227375984192	0.173965901136398	0	0.00855264106594373	5.93739694904252	851.466783511847	3983.31814759945	0.149898337346965	0.0101749174441576	0.149898337346965	0	0	0	0	0	0	0	0	0	0	0	0	18.3538788910893	0.178167451085757	6.63973686068447	11.8957052494806	0.195354063850899	2876.29314780865	7113.71419797626	30642.757384448	929.071673356508	1019.37620001956	658.672341008453	37745.2135871065	30088.1177425851	34338.1825133378	6607.80479092255	"RANCH CREEK BLW MEADOW CR NR TABERNASH, CO"	29.17	"65"	1525	0.742	1131	39	"17"	"none"	1	1131	0.825725698299854	0.117310049461404	0.00856561927696944	0	0	0	0.0480453372171832	0	0	0	0	634	634	9033100	9.14242865588995	9.14242865588995
